mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,result_doc_types
Pure_Vector,recommended paper types,keyword,easy,0.013915777206420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,how to reset the device,semantic,easy,0.09813547134399414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,scan to email,keyword,easy,0.005257606506347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,print from mobile phone,semantic,medium,0.005209445953369141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,connect printer to wifi network,semantic,medium,0.005591392517089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,replace toner cartridge,keyword,easy,0.0037822723388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,clean the printhead,semantic,medium,0.003987550735473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,paper jam solution,keyword,easy,0.005600929260253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,send fax to multiple recipients,semantic,hard,0.0059282779693603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,factory reset printer,semantic,medium,0.003979921340942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,software update for printer,semantic,medium,0.003926753997802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,configure network settings,semantic,hard,0.0037038326263427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,check ink level,keyword,easy,0.003962039947509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,duplex printing setup,semantic,medium,0.0038161277770996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,scan document to USB drive,semantic,medium,0.004313945770263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,setup email notification,semantic,hard,0.0036945343017578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,how to install printer driver,semantic,medium,0.003809690475463867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,wireless connection setup,semantic,medium,0.003475666046142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,maintenance schedule,keyword,medium,0.0031795501708984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,troubleshoot print quality,semantic,hard,0.003425121307373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,energy saving mode,keyword,easy,0.004084348678588867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,how to scan multiple pages,semantic,medium,0.004134654998779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,change paper size,keyword,easy,0.0042531490325927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,set up scan to network folder,semantic,hard,0.004250049591064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,firmware upgrade instructions,semantic,medium,0.0037004947662353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,default settings,keyword,easy,0.0032351016998291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,how to use automatic document feeder,semantic,medium,0.004336833953857422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,adjust print density,semantic,medium,0.002712249755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,cancel print job,keyword,easy,0.003242969512939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,network troubleshooting guide,semantic,hard,0.0028374195098876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Pure_BM25,recommended paper types,keyword,easy,0.0028007030487060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,how to reset the device,semantic,easy,0.026144742965698242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,scan to email,keyword,easy,0.02906060218811035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,print from mobile phone,semantic,medium,0.02455449104309082,0.6992148198508501,0.8062079522181139,1.0,0.6,0.8,0.6,0.4,0.6,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
