mode,query,query_type,difficulty,latency,num_results,ndcg@5,ndcg@10,mrr,result_0_id,result_1_id,result_2_id,result_3_id,result_4_id,result_0_score,result_1_score,result_2_score,result_3_score,result_4_score
Pure_Vector,paper jam solution,keyword,easy,0.4217972755432129,50,0.9124087591240877,0.7112857336404282,1.0,206,204,209,205,203,0.6753908255273431,0.675365771955742,0.6617693133508948,0.6555300281010387,0.6486826734089307
Pure_Vector,how to reset the device,semantic,easy,0.09283852577209473,50,0.21897810218978103,0.17070857607370277,0.5,268,208,269,267,265,0.6188229067976989,0.6131115377210948,0.5973015433586135,0.5917011395064281,0.5884214721374253
Pure_Vector,scan to email,keyword,easy,0.018048763275146484,50,0.0,0.0,0.0,2378,2040,89,1204,78,0.6131853286672347,0.6112684876551734,0.6019818896096328,0.5981728100675142,0.5969743252750487
Pure_Vector,replace toner cartridge,keyword,easy,0.04997611045837402,50,0.0,0.0,0.0,195,259,194,193,73,0.6711368007768237,0.6485555377046478,0.6439738381943386,0.6381452346147245,0.6361665085339707
Pure_Vector,connect printer to wifi network,semantic,medium,0.04212188720703125,50,0.7664233576642336,0.5974800162579597,1.0,24,29,32,31,35,0.7695734827941969,0.7684646891998389,0.7549499274443827,0.7548721404248376,0.7530958531625186
Pure_Vector,software update for printer,semantic,medium,0.03355836868286133,50,0.0,0.0,0.0,63,62,64,273,220,0.7298329527537887,0.7039336786117769,0.6913677275661334,0.6704125557540243,0.6546449027320314
Pure_Vector,print from mobile phone,semantic,medium,0.022586345672607422,50,0.0,0.0,0.0,68,77,65,66,84,0.7864416339100154,0.7119646976656668,0.6723541853889903,0.6711423179625906,0.6615486324056945
Pure_Vector,troubleshoot print quality,semantic,hard,0.016237258911132812,50,0.6569343065693432,0.5121257282211082,1.0,222,223,217,220,264,0.7398638697993943,0.7214169828280932,0.6948128007412124,0.6903345600394881,0.6900278623387255
Pure_Vector,configure network settings,semantic,hard,0.014194965362548828,50,0.6569343065693432,0.5121257282211082,1.0,58,254,53,59,246,0.6725934737343944,0.651639241748249,0.6320984082077922,0.6219965889059215,0.6211691054006399
Pure_Vector,send fax to multiple recipients,semantic,hard,0.014702320098876953,50,0.854014598540146,0.7463758298333559,1.0,96,88,89,87,92,0.7705854637953508,0.6851640752235698,0.6798512151176022,0.6666400443218333,0.6531630249316089
Pure_Vector,clean the printhead,semantic,medium,0.015186786651611328,50,0.0,0.0,0.0,264,259,262,255,260,0.7601767654421576,0.7131009087275955,0.7096291077762877,0.6916453638487225,0.6841402991922277
Pure_Vector,factory reset printer,semantic,medium,0.015527009963989258,50,0.0,0.0,0.0,269,208,259,268,246,0.7096956129451094,0.6767500057077482,0.6519446504291522,0.6448935291685158,0.6416863163120551
Pure_Vector,check ink level,keyword,easy,0.013788938522338867,50,0.43795620437956206,0.34141715214740553,1.0,192,142,73,223,259,0.7531520581274889,0.686654717928804,0.6503855162169411,0.6402991876506627,0.6269346834919315
