mode,query,query_type,difficulty,latency,num_results,ndcg@5,ndcg@10,mrr,result_0_id,result_1_id,result_2_id,result_3_id,result_4_id,result_0_score,result_1_score,result_2_score,result_3_score,result_4_score
Pure_Vector,scan document to USB drive,semantic,medium,0.023171186447143555,10,0.0,0.0,0.0,,,,,,0.7312516212627381,0.6759073456851524,0.6744134578825535,0.6562312495198703,0.6502245468485076
Pure_Vector,setup email notification,semantic,hard,0.019521713256835938,10,0.0,0.0,0.0,,,,,,0.6107680178796149,0.6070548438785185,0.6026601479485213,0.588215581934129,0.586668969905147
Pure_Vector,how to install printer driver,semantic,medium,0.02067279815673828,10,0.0,0.0,0.0,,,,,,0.7297281333388427,0.7233906366292456,0.7230489630196915,0.7221806069648187,0.7208343250209449
Pure_Vector,wireless connection setup,semantic,medium,0.014764785766601562,10,0.0,0.0,0.0,,,,,,0.6564405883920089,0.6343319695453493,0.6312883821555506,0.6301497751742289,0.6285912453806988
Pure_Vector,maintenance schedule,keyword,medium,0.015390157699584961,10,0.0,0.0,0.0,,,,,,0.6074308799661867,0.5990434138600801,0.5977893161313421,0.5975003956693051,0.596932481852981
Pure_Vector,troubleshoot print quality,semantic,hard,0.013660907745361328,10,0.0,0.0,0.0,,,,,,0.7446639557969048,0.7323928831902741,0.7320814016736945,0.712830814968804,0.712564587677837
Pure_Vector,energy saving mode,keyword,easy,0.01708698272705078,10,0.0,0.0,0.0,,,,,,0.6484562209755127,0.6395136267404051,0.6384582153752855,0.6328674937306298,0.6319554318388133
Pure_Vector,how to scan multiple pages,semantic,medium,0.02207326889038086,10,0.0,0.0,0.0,,,,,,0.667869588726688,0.667002807581709,0.6666402827214563,0.6641116950475726,0.6608898668810753
Pure_Vector,change paper size,keyword,easy,0.020556926727294922,10,0.0,0.0,0.0,,,,,,0.7246142262827892,0.6933497141999433,0.6925881125594554,0.6925881125594554,0.6925881125594554
Pure_Vector,set up scan to network folder,semantic,hard,0.02275395393371582,10,0.0,0.0,0.0,,,,,,0.6615725278338359,0.6421181688894863,0.6338330728758865,0.6326731561748117,0.6318146377557353
Pure_Vector,firmware upgrade instructions,semantic,medium,0.021358489990234375,10,0.0,0.0,0.0,,,,,,0.6447556335744535,0.6362147329993549,0.6227241233285963,0.6219913082495776,0.6210051922502126
Pure_Vector,default settings,keyword,easy,0.022109508514404297,10,0.0,0.0,0.0,,,,,,0.6865927558010039,0.648513095006583,0.6396887256856977,0.6385707769536809,0.6339334696957291
Pure_Vector,how to use automatic document feeder,semantic,medium,0.02135920524597168,10,0.0,0.0,0.0,,,,,,0.6990252833110664,0.6912283949359653,0.6877022330707921,0.6837580614972895,0.6746469574334697
Pure_Vector,adjust print density,semantic,medium,0.019853591918945312,10,0.0,0.0,0.0,,,,,,0.683175100609951,0.6808079910417096,0.680005015362537,0.6789481024976264,0.6789481024976264
Pure_Vector,cancel print job,keyword,easy,0.013463258743286133,10,0.0,0.0,0.0,,,,,,0.6503991566512934,0.645125785026876,0.6437109934845484,0.6427033139343655,0.6416673452207337
Pure_Vector,network troubleshooting guide,semantic,hard,0.013351917266845703,10,0.0,0.0,0.0,,,,,,0.683494558350137,0.6735342969148416,0.6678772723537958,0.6671514590076952,0.6627567013431267
Pure_Vector,recommended paper types,keyword,easy,0.013915777206420898,10,0.0,0.0,0.0,,,,,,0.7060263244230202,0.6979424939314584,0.6735932888697359,0.6718184363674259,0.6708200436545207
Pure_BM25,how to reset the device,semantic,easy,0.09813547134399414,10,0.0,0.0,0.0,entry_266_5065ce57,entry_267_0ac1f740,entry_207_fcc33bea,entry_78_95d6a64f,entry_264_7c31e7a1,,,,,
Pure_BM25,scan to email,keyword,easy,0.005257606506347656,10,0.0,0.0,0.0,entry_77_7ea2dbe4,entry_15_a7ae3a62,entry_81_9d19d69d,entry_79_2afb7d72,entry_80_8dcaba9f,,,,,
Pure_BM25,print from mobile phone,semantic,medium,0.005209445953369141,10,0.0,0.0,0.0,entry_67_5fc9c5ef,entry_64_45d32212,entry_68_44073e9c,entry_243_04adbdd7,entry_76_816b45c4,,,,,
Pure_BM25,connect printer to wifi network,semantic,medium,0.005591392517089844,10,0.0,0.0,0.0,entry_31_c68b56e1,entry_23_e2d47abd,entry_34_52f8504f,entry_28_9aff5131,entry_30_cb4e6ca1,,,,,
Pure_BM25,replace toner cartridge,keyword,easy,0.0037822723388671875,10,0.0,0.0,0.0,entry_194_730871a4,entry_72_9deff648,entry_141_09e6e998,entry_191_ab36f106,entry_303_9d380792,,,,,
Pure_BM25,clean the printhead,semantic,medium,0.003987550735473633,10,0.0,0.0,0.0,entry_249_1dd3487e,entry_263_300c8f6d,entry_287_4ea6a3ab,entry_190_ac158dce,entry_8_ecd7f9f7,,,,,
Pure_BM25,paper jam solution,keyword,easy,0.005600929260253906,10,0.0,0.0,0.0,entry_200_9426c9c9,entry_206_1634029c,entry_205_73f16dec,entry_204_817d43f1,entry_203_e39e4186,,,,,
Pure_BM25,send fax to multiple recipients,semantic,hard,0.0059282779693603516,10,0.0,0.0,0.0,entry_95_ed8e19f6,entry_87_50c49fe7,entry_94_99fa315e,entry_88_f65c8d87,entry_85_c1e10206,,,,,
Pure_BM25,factory reset printer,semantic,medium,0.003979921340942383,10,0.0,0.0,0.0,entry_207_fcc33bea,entry_266_5065ce57,entry_267_0ac1f740,entry_268_5d8b6239,entry_264_7c31e7a1,,,,,
Pure_BM25,software update for printer,semantic,medium,0.003926753997802734,10,0.0,0.0,0.0,entry_62_93409445,entry_63_f26b5d3b,entry_15_a7ae3a62,entry_272_30582464,entry_16_dc3d09c8,,,,,
Pure_BM25,configure network settings,semantic,hard,0.0037038326263427734,10,0.0,0.0,0.0,entry_58_1def4e7b,entry_53_9c0b6bdd,entry_119_bd85f096,entry_52_77164596,entry_111_21aa28d5,,,,,
Pure_BM25,check ink level,keyword,easy,0.003962039947509766,10,0.0,0.0,0.0,entry_191_ab36f106,entry_141_09e6e998,entry_72_9deff648,entry_222_270dc38a,entry_192_298e3df7,,,,,
Pure_BM25,duplex printing setup,semantic,medium,0.0038161277770996094,10,0.0,0.0,0.0,entry_29_8f1ad37f,22997c29-cc9d-40d2-970d-0cf51a0391d7,entry_187_90bf96dc,entry_149_961ab461,entry_216_67728a12,,,,,
Pure_BM25,scan document to USB drive,semantic,medium,0.004313945770263672,10,0.0,0.0,0.0,entry_78_95d6a64f,entry_13_344b9f38,entry_7_bb76a6b2,entry_81_9d19d69d,entry_77_7ea2dbe4,,,,,
Pure_BM25,setup email notification,semantic,hard,0.0036945343017578125,10,0.0,0.0,0.0,entry_150_d4614946,22997c29-cc9d-40d2-970d-0cf51a0391d7,entry_187_90bf96dc,entry_140_d1b7b1aa,entry_149_961ab461,,,,,
Pure_BM25,how to install printer driver,semantic,medium,0.003809690475463867,10,0.0,0.0,0.0,entry_3_5ee11d85,entry_16_dc3d09c8,entry_64_45d32212,entry_79_2afb7d72,entry_287_4ea6a3ab,,,,,
Pure_BM25,wireless connection setup,semantic,medium,0.003475666046142578,10,0.0,0.0,0.0,entry_20_645335ce,entry_9_1e138401,entry_243_04adbdd7,entry_283_fc4ca128,entry_150_d4614946,,,,,
Pure_BM25,maintenance schedule,keyword,medium,0.0031795501708984375,10,0.0,0.0,0.0,entry_258_1d3205ea,e9970030-45bf-42de-b263-706a5f107fc4,9f6095ac-8309-4d4e-acc4-85584429e893,entry_284_526ab6db,entry_268_5d8b6239,,,,,
Pure_BM25,troubleshoot print quality,semantic,hard,0.003425121307373047,10,0.0,0.0,0.0,entry_221_17a2da2a,entry_254_e5e88dc9,entry_213_834e8aba,entry_218_5d3c67e4,entry_222_270dc38a,,,,,
Pure_BM25,energy saving mode,keyword,easy,0.004084348678588867,10,0.0,0.0,0.0,8553cda0-5e5b-42b1-9c9a-4f08e0ce83ed,entry_60_48972fd5,entry_285_56abaec2,entry_122_c3458049,entry_354_679e4b3c,,,,,
Pure_BM25,how to scan multiple pages,semantic,medium,0.004134654998779297,10,0.0,0.0,0.0,entry_94_99fa315e,entry_82_58014d38,entry_85_c1e10206,entry_83_2869aba0,entry_212_c1038139,,,,,
